"Gene One","Gene Two","Pearson's r-value","P-Value"
"LOC_Os01g08420","LOC_Os01g63820","0.80617","0.0"
"LOC_Os01g08420","LOC_Os01g63910","0.806065","0.0"
"LOC_Os01g08420","LOC_Os01g63940","0.772175","0.0"
"LOC_Os01g08420","LOC_Os01g64560","0.76154","0.0"
"LOC_Os01g08420","LOC_Os01g64750","0.797401","0.0"
"LOC_Os01g08420","LOC_Os01g64770","0.779728","0.0"
"LOC_Os01g08420","LOC_Os01g64870","0.77081","0.0"
"LOC_Os01g08420","LOC_Os01g64930","0.743312","0.0"
"LOC_Os01g08420","LOC_Os01g65220","0.75202","0.0"
"LOC_Os01g08420","LOC_Os01g65310","0.828664","0.0"
"LOC_Os01g08420","LOC_Os01g65330","0.810474","0.0"
"LOC_Os01g08420","LOC_Os01g65600","0.710486","5.6E-45"
"LOC_Os01g08420","LOC_Os01g65940","0.796489","0.0"
"LOC_Os01g08420","LOC_Os01g65986","0.757546","0.0"
"LOC_Os01g08420","LOC_Os01g66050","0.700243","3.6E-43"
"LOC_Os01g08420","LOC_Os01g67054","0.723405","0.0"
"LOC_Os01g08420","LOC_Os01g67170","0.730809","0.0"
"LOC_Os01g08420","LOC_Os01g67250","0.869303","0.0"
"LOC_Os01g08420","LOC_Os01g67880","0.71863","0.0"
"LOC_Os01g08420","LOC_Os01g67920","0.79433","0.0"
"LOC_Os01g08420","LOC_Os01g68320","0.769254","0.0"
"LOC_Os01g08420","LOC_Os01g68380","0.850632","0.0"
"LOC_Os01g08420","LOC_Os01g68440","0.728775","0.0"
"LOC_Os01g08420","LOC_Os01g68760","0.779911","0.0"
"LOC_Os01g08420","LOC_Os01g68810","0.842676","0.0"
"LOC_Os01g08420","LOC_Os01g69040","0.727164","0.0"
"LOC_Os01g08420","LOC_Os01g69210","0.782223","0.0"
"LOC_Os01g08420","LOC_Os01g69279","0.71818","0.0"
"LOC_Os01g08420","LOC_Os01g69900","0.747367","0.0"
"LOC_Os01g08420","LOC_Os01g69904","0.738219","0.0"
"LOC_Os01g08420","LOC_Os01g70060","0.733585","0.0"
"LOC_Os01g08420","LOC_Os01g70300","0.703925","8.5E-44"
"LOC_Os01g08420","LOC_Os01g70330","0.742901","0.0"
"LOC_Os01g08420","LOC_Os01g70720","0.822411","0.0"
"LOC_Os01g08420","LOC_Os01g70740","0.738779","0.0"
"LOC_Os01g08420","LOC_Os01g70940","0.710147","7.0E-45"
"LOC_Os01g08420","LOC_Os01g71630","0.823788","0.0"
"LOC_Os01g08420","LOC_Os01g71770","0.771606","0.0"
"LOC_Os01g08420","LOC_Os01g72310","0.803234","0.0"
"LOC_Os01g08420","LOC_Os01g72340","0.74137","0.0"
"LOC_Os01g08420","LOC_Os01g73514","0.819801","0.0"
"LOC_Os01g08420","LOC_Os01g73620","0.845598","0.0"
"LOC_Os01g08420","LOC_Os01g73644","0.759606","0.0"
"LOC_Os01g08420","LOC_Os01g73656","0.738652","0.0"
"LOC_Os01g08420","LOC_Os01g73670","0.864221","0.0"
"LOC_Os01g08420","LOC_Os01g73680","0.709467","9.8E-45"
"LOC_Os01g08420","LOC_Os01g73690","0.711959","2.8E-45"
"LOC_Os01g08420","LOC_Os01g73760","0.796543","0.0"
"LOC_Os01g08420","LOC_Os01g73800","0.712322","2.8E-45"
"LOC_Os01g08420","LOC_Os01g73900","0.738566","0.0"
"LOC_Os01g08420","LOC_Os01g73970","0.754783","0.0"
"LOC_Os01g08420","LOC_Os01g74010","0.741628","0.0"
"LOC_Os01g08420","LOC_Os01g74280","0.731396","0.0"
"LOC_Os01g08420","LOC_Os01g74310","0.723977","0.0"
"LOC_Os01g08420","LOC_Os01g74580","0.756988","0.0"
"LOC_Os01g08420","LOC_Os01g74610","0.701224","2.45E-43"
"LOC_Os01g08420","LOC_Os02g01070","0.7235","0.0"
"LOC_Os01g08420","LOC_Os02g01170","0.89467","0.0"
"LOC_Os01g08420","LOC_Os02g01180","0.819448","0.0"
"LOC_Os01g08420","LOC_Os02g01240","0.795544","0.0"
"LOC_Os01g08420","LOC_Os02g01245","0.777345","0.0"
"LOC_Os01g08420","LOC_Os02g01480","0.715625","1.4E-45"
"LOC_Os01g08420","LOC_Os02g01880","0.740387","0.0"
"LOC_Os01g08420","LOC_Os02g02050","0.771871","0.0"
"LOC_Os01g08420","LOC_Os02g02470","0.704434","7.0E-44"
"LOC_Os01g08420","LOC_Os02g02570","0.848373","0.0"
"LOC_Os01g08420","LOC_Os02g02710","0.718579","0.0"
"LOC_Os01g08420","LOC_Os02g02980","0.764415","0.0"
"LOC_Os01g08420","LOC_Os02g03070","0.805709","0.0"
"LOC_Os01g08420","LOC_Os02g03090","0.786796","0.0"
"LOC_Os01g08420","LOC_Os02g03110","0.703936","8.4E-44"
"LOC_Os01g08420","LOC_Os02g03220","0.894164","0.0"
"LOC_Os01g08420","LOC_Os02g03260","0.702762","1.35E-43"
"LOC_Os01g08420","LOC_Os02g03540","0.794375","0.0"
"LOC_Os01g08420","LOC_Os02g03590","0.771339","0.0"
"LOC_Os01g08420","LOC_Os02g03970","0.815385","0.0"
"LOC_Os01g08420","LOC_Os02g04490","0.861156","0.0"
"LOC_Os01g08420","LOC_Os02g04710","0.742278","0.0"
"LOC_Os01g08420","LOC_Os02g04725","0.80336","0.0"
"LOC_Os01g08420","LOC_Os02g05199","0.809643","0.0"
"LOC_Os01g08420","LOC_Os02g05450","0.843567","0.0"
"LOC_Os01g08420","LOC_Os02g05500","0.735224","0.0"
"LOC_Os01g08420","LOC_Os02g05700","0.853971","0.0"
"LOC_Os01g08420","LOC_Os02g05730","0.872374","0.0"
"LOC_Os01g08420","LOC_Os02g05770","0.714072","1.4E-45"
"LOC_Os01g08420","LOC_Os02g05780","0.776817","0.0"
"LOC_Os01g08420","LOC_Os02g05790","0.774158","0.0"
"LOC_Os01g08420","LOC_Os02g06588","0.791138","0.0"
"LOC_Os01g08420","LOC_Os02g06592","0.854146","0.0"
"LOC_Os01g08420","LOC_Os02g06720","0.803855","0.0"
"LOC_Os01g08420","LOC_Os02g06820","0.709525","8.4E-45"
"LOC_Os01g08420","LOC_Os02g06880","0.700444","3.32E-43"
"LOC_Os01g08420","LOC_Os02g07070","0.864838","0.0"
"LOC_Os01g08420","LOC_Os02g07340","0.829938","0.0"
"LOC_Os01g08420","LOC_Os02g07880","0.813721","0.0"
"LOC_Os01g08420","LOC_Os02g08360","0.722452","0.0"
"LOC_Os01g08420","LOC_Os02g09060","0.816841","0.0"
"LOC_Os01g08420","LOC_Os02g09180","0.706112","3.5E-44"
"LOC_Os01g08420","LOC_Os02g10130","0.835857","0.0"
"LOC_Os01g08420","LOC_Os02g10260","0.800516","0.0"
"LOC_Os01g08420","LOC_Os02g10970","0.744151","0.0"
"LOC_Os01g08420","LOC_Os02g11780","0.864367","0.0"
"LOC_Os01g08420","LOC_Os02g12360","0.879807","0.0"
"LOC_Os01g08420","LOC_Os02g12490","0.773977","0.0"
"LOC_Os01g08420","LOC_Os02g12650","0.754556","0.0"
"LOC_Os01g08420","LOC_Os02g12810","0.719672","0.0"
"LOC_Os01g08420","LOC_Os02g12850","0.757928","0.0"
"LOC_Os01g08420","LOC_Os02g13130","0.850142","0.0"
"LOC_Os01g08420","LOC_Os02g13160","0.75957","0.0"
"LOC_Os01g08420","LOC_Os02g13400","0.890768","0.0"
"LOC_Os01g08420","LOC_Os02g15270","0.705063","5.5E-44"
"LOC_Os01g08420","LOC_Os02g15550","0.730986","0.0"
"LOC_Os01g08420","LOC_Os02g16490","0.730462","0.0"
"LOC_Os01g08420","LOC_Os02g16640","0.771226","0.0"
"LOC_Os01g08420","LOC_Os02g16670","0.718381","0.0"
"LOC_Os01g08420","LOC_Os02g17292","0.706181","3.5E-44"
"LOC_Os01g08420","LOC_Os02g17650","0.743774","0.0"
"LOC_Os01g08420","LOC_Os02g17700","0.778881","0.0"
"LOC_Os01g08420","LOC_Os02g17910","0.815594","0.0"
"LOC_Os01g08420","LOC_Os02g18820","0.897136","0.0"
"LOC_Os01g08420","LOC_Os02g18830","0.721047","0.0"
"LOC_Os01g08420","LOC_Os02g19150","0.796615","0.0"
"LOC_Os01g08420","LOC_Os02g19170","0.768659","0.0"
"LOC_Os01g08420","LOC_Os02g19200","0.798859","0.0"
"LOC_Os01g08420","LOC_Os02g20270","0.795751","0.0"
"LOC_Os01g08420","LOC_Os02g20430","0.802988","0.0"
"LOC_Os01g08420","LOC_Os02g20940","0.716737","0.0"
"LOC_Os01g08420","LOC_Os02g20950","0.767625","0.0"
"LOC_Os01g08420","LOC_Os02g20980","0.725664","0.0"
"LOC_Os01g08420","LOC_Os02g21490","0.830972","0.0"
"LOC_Os01g08420","LOC_Os02g21510","0.736714","0.0"
"LOC_Os01g08420","LOC_Os02g21630","0.718409","0.0"
"LOC_Os01g08420","LOC_Os02g22084","0.779654","0.0"
"LOC_Os01g08420","LOC_Os02g22374","0.811969","0.0"
"LOC_Os01g08420","LOC_Os02g22580","0.727903","0.0"
"LOC_Os01g08420","LOC_Os02g22590","0.70438","7.1E-44"
"LOC_Os01g08420","LOC_Os02g23823","0.730472","0.0"
"LOC_Os01g08420","LOC_Os02g23930","0.761954","0.0"
"LOC_Os01g08420","LOC_Os02g23939","0.752563","0.0"
"LOC_Os01g08420","LOC_Os02g24354","0.793869","0.0"
"LOC_Os01g08420","LOC_Os02g25624","0.72206","0.0"
"LOC_Os01g08420","LOC_Os02g25650","0.702125","1.72E-43"
"LOC_Os01g08420","LOC_Os02g26349","0.71942","0.0"
"LOC_Os01g08420","LOC_Os02g26550","0.803641","0.0"
"LOC_Os01g08420","LOC_Os02g26614","0.73958","0.0"
"LOC_Os01g08420","LOC_Os02g26984","0.820644","0.0"
"LOC_Os01g08420","LOC_Os02g27060","0.740566","0.0"
"LOC_Os01g08420","LOC_Os02g27594","0.728567","0.0"
"LOC_Os01g08420","LOC_Os02g27674","0.784863","0.0"
"LOC_Os01g08420","LOC_Os02g28040","0.740315","0.0"
"LOC_Os01g08420","LOC_Os02g28830","0.826036","0.0"
"LOC_Os01g08420","LOC_Os02g30840","0.76115","0.0"
"LOC_Os01g08420","LOC_Os02g31150","0.834847","0.0"
"LOC_Os01g08420","LOC_Os02g31960","0.789432","0.0"
"LOC_Os01g08420","LOC_Os02g32160","0.799827","0.0"
"LOC_Os01g08420","LOC_Os02g32460","0.746703","0.0"
"LOC_Os01g08420","LOC_Os02g32530","0.719427","0.0"
"LOC_Os01g08420","LOC_Os02g32730","0.727343","0.0"
"LOC_Os01g08420","LOC_Os02g33230","0.753449","0.0"
"LOC_Os01g08420","LOC_Os02g33430","0.729652","0.0"
"LOC_Os01g08420","LOC_Os02g33750","0.706026","3.6E-44"
"LOC_Os01g08420","LOC_Os02g34500","0.820317","0.0"
"LOC_Os01g08420","LOC_Os02g34630","0.706725","2.8E-44"
"LOC_Os01g08420","LOC_Os02g34850","0.849081","0.0"
"LOC_Os01g08420","LOC_Os02g35150","0.782546","0.0"
"LOC_Os01g08420","LOC_Os02g35470","0.823589","0.0"
"LOC_Os01g08420","LOC_Os02g35590","0.715593","1.4E-45"
"LOC_Os01g08420","LOC_Os02g35860","0.777873","0.0"
"LOC_Os01g08420","LOC_Os02g37050","0.740947","0.0"
"LOC_Os01g08420","LOC_Os02g37090","0.779635","0.0"
"LOC_Os01g08420","LOC_Os02g37856","0.765739","0.0"
"LOC_Os01g08420","LOC_Os02g38250","0.702728","1.36E-43"
"LOC_Os01g08420","LOC_Os02g38430","0.767883","0.0"
"LOC_Os01g08420","LOC_Os02g38574","0.782866","0.0"
"LOC_Os01g08420","LOC_Os02g38680","0.82524","0.0"
"LOC_Os01g08420","LOC_Os02g38800","0.757218","0.0"
"LOC_Os01g08420","LOC_Os02g39300","0.711064","4.2E-45"
"LOC_Os01g08420","LOC_Os02g39340","0.723887","0.0"
"LOC_Os01g08420","LOC_Os02g39520","0.847464","0.0"
"LOC_Os01g08420","LOC_Os02g39530","0.725336","0.0"
"LOC_Os01g08420","LOC_Os02g39830","0.785473","0.0"
"LOC_Os01g08420","LOC_Os02g40000","0.722036","0.0"
"LOC_Os01g08420","LOC_Os02g40030","0.706306","3.4E-44"
"LOC_Os01g08420","LOC_Os02g40080","0.721614","0.0"
"LOC_Os01g08420","LOC_Os02g41550","0.739207","0.0"
"LOC_Os01g08420","LOC_Os02g42040","0.78476","0.0"
"LOC_Os01g08420","LOC_Os02g42200","0.84345","0.0"
"LOC_Os01g08420","LOC_Os02g42230","0.720328","0.0"
"LOC_Os01g08420","LOC_Os02g42374","0.729176","0.0"
"LOC_Os01g08420","LOC_Os02g42540","0.729612","0.0"
"LOC_Os01g08420","LOC_Os02g42590","0.842801","0.0"
"LOC_Os01g08420","LOC_Os02g42670","0.717622","0.0"
"LOC_Os01g08420","LOC_Os02g42860","0.776661","0.0"
"LOC_Os01g08420","LOC_Os02g42920","0.714291","1.4E-45"
"LOC_Os01g08420","LOC_Os02g43090","0.723255","0.0"
